...1,Area,Mean,Min,Max,Perim.,Angle,Length
23,1.34,117.028,32.636,150.27,25.695,76.64,25.695
24,1.392,102.643,11.667,143.904,26.665,-10.125,26.665
25,1.693,129.928,111.333,144.832,32.423,-100.552,32.423
26,1.63,107.314,9.522,143.136,31.245,-30.669,31.245
27,1.546,121.033,22.667,174.545,29.633,117.646,29.633
28,1.072,119.9,51.333,155.505,20.542,-166.809,20.542
29,2.127,136.549,42.667,176.455,40.795,67.954,40.795
30,1.337,128.818,19.258,169.884,25.627,-127.569,25.627
31,3.513,84.733,4.31,173.05,67.397,-94.521,67.397
32,1.226,154.033,45.333,185.239,23.494,28.61,23.494
33,1.519,123.248,15,185.301,29.135,-112.714,29.135
34,1.487,128.061,29.333,175.708,28.504,142.125,28.504
35,1.175,144.629,71.333,181.63,22.509,-91.591,22.509
36,0.979,128.467,17.333,166.533,18.773,92.862,18.773
37,0.773,105.015,20.667,132.915,14.807,44.145,14.807
38,0.985,124.247,22.667,172.274,18.846,139.708,18.846
39,0.857,127.35,25.812,167.457,16.4,59.036,16.4
40,0.708,103.97,70,131.552,13.524,-130.314,13.524
41,1.194,127.651,17.144,176.667,22.889,-141.096,22.889
42,0.768,129.127,16,170.013,14.691,38.089,14.691
43,0.77,125.768,42.667,161.919,14.717,-3.652,14.717
44,1.487,142.557,36.16,185.012,28.504,142.125,28.504
45,0.814,139.836,41.333,175.845,15.569,-128.48,15.569
46,0.795,121.225,19.393,179.27,15.207,-80.538,15.207
47,0.841,123.24,21.667,164.626,16.108,18.083,16.108
48,1.34,136.07,53.667,183.423,25.694,-4.185,25.694
49,0.86,127.137,60.667,173.173,16.468,123.389,16.468
50,0.901,118.437,65.333,175.372,17.241,-136.469,17.241
51,4.335,151.091,56.667,181.109,83.175,66.999,83.175
52,1.099,141.579,77.333,177.95,21.049,-130.786,21.049
53,1.733,123.957,18.333,164.409,33.24,99.197,33.24
54,1.59,107.991,23.517,163.272,30.494,135,30.494
55,1.413,107.328,12.195,148.532,27.094,172.711,27.094
56,3.364,138.225,114.003,166.823,64.539,-49.91,64.539
57,4.183,104.999,25.961,159.211,80.244,85.533,80.244
58,3,113.438,80.869,145.385,57.544,-98.746,57.544
59,2.596,97.14,40.02,144.539,49.79,111.735,49.79
